               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.051422,            0.071058,            0.026777,             0.62959,             0.47655,             0.51788,             0.32733,            0.045208,            0.050634,            0.018443,            0.007921,            0.007921,            0.007921
                  65,             0.05146,            0.071029,            0.026777,             0.63136,             0.47529,             0.51766,             0.32699,            0.045203,            0.050632,            0.018429,            0.007888,            0.007888,            0.007888
                  66,            0.051453,            0.071031,            0.026823,              0.6305,             0.47557,             0.51789,             0.32753,            0.045194,            0.050623,             0.01841,            0.007855,            0.007855,            0.007855
                  67,            0.051395,             0.07102,            0.026698,             0.62602,             0.47898,             0.51773,             0.32778,             0.04518,             0.05062,            0.018397,            0.007822,            0.007822,            0.007822
                  68,            0.051334,            0.070677,            0.026715,             0.62963,             0.47823,             0.51786,             0.32754,            0.045171,            0.050608,            0.018392,            0.007789,            0.007789,            0.007789
                  69,            0.051367,             0.07096,            0.026768,             0.63105,             0.47819,             0.51846,             0.32734,            0.045163,            0.050594,            0.018386,            0.007756,            0.007756,            0.007756
                  70,            0.051429,            0.070917,              0.0267,             0.63333,             0.47584,             0.51849,             0.32786,            0.045151,            0.050589,            0.018383,            0.007723,            0.007723,            0.007723
                  71,            0.051303,            0.070859,            0.026696,             0.63256,             0.47778,             0.51905,             0.32801,            0.045137,            0.050577,            0.018377,             0.00769,             0.00769,             0.00769
                  72,            0.051315,            0.071249,            0.026678,             0.63341,             0.47727,             0.51964,             0.32817,             0.04513,            0.050563,            0.018379,            0.007657,            0.007657,            0.007657
                  73,            0.051223,            0.070617,            0.026543,             0.62962,             0.48014,             0.52005,             0.32831,            0.045121,            0.050556,            0.018367,            0.007624,            0.007624,            0.007624
                  74,            0.051223,             0.07085,            0.026568,             0.63073,             0.48036,             0.52004,              0.3286,             0.04511,            0.050556,            0.018356,            0.007591,            0.007591,            0.007591
                  75,            0.051236,            0.070979,            0.026451,             0.63365,             0.47756,             0.52039,             0.32881,            0.045097,             0.05055,            0.018343,            0.007558,            0.007558,            0.007558
                  76,            0.051247,            0.070733,            0.026563,             0.63527,             0.47673,             0.52036,             0.32889,            0.045094,            0.050539,            0.018338,            0.007525,            0.007525,            0.007525
                  77,            0.051246,            0.070782,            0.026605,             0.63448,              0.4765,              0.5205,             0.32924,            0.045089,            0.050527,            0.018323,            0.007492,            0.007492,            0.007492
                  78,            0.051144,            0.070688,            0.026529,              0.6396,             0.47499,              0.5205,              0.3295,            0.045081,            0.050525,            0.018308,            0.007459,            0.007459,            0.007459
                  79,            0.051162,            0.070663,            0.026432,             0.63622,             0.47778,             0.52096,             0.32982,            0.045067,            0.050513,             0.01829,            0.007426,            0.007426,            0.007426
