               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.029319,             0.02112,           0.0032796,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006898,            0.006898,            0.006898
                  96,            0.028526,            0.019114,           0.0031535,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006865,            0.006865,            0.006865
                  97,              0.0316,            0.022537,           0.0048051,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006832,            0.006832,            0.006832
                  98,            0.029513,            0.021699,           0.0031543,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006799,            0.006799,            0.006799
                  99,            0.028271,            0.022832,           0.0037023,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006766,            0.006766,            0.006766
                 100,            0.026991,            0.021444,           0.0032726,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006733,            0.006733,            0.006733
                 101,            0.026215,            0.020582,           0.0037292,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0067,              0.0067,              0.0067
                 102,            0.027404,            0.020067,            0.002879,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006667,            0.006667,            0.006667
                 103,             0.02705,            0.020396,           0.0024295,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006634,            0.006634,            0.006634
                 104,            0.028348,            0.020383,           0.0044887,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006601,            0.006601,            0.006601
                 105,            0.027858,            0.019879,           0.0025893,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006568,            0.006568,            0.006568
                 106,              0.0283,             0.01992,           0.0065265,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006535,            0.006535,            0.006535
                 107,            0.027367,            0.022403,           0.0023015,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006502,            0.006502,            0.006502
                 108,            0.027109,            0.020228,           0.0027169,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006469,            0.006469,            0.006469
                 109,             0.02784,            0.020322,           0.0028215,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006436,            0.006436,            0.006436
                 110,            0.028552,            0.019723,           0.0022287,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006403,            0.006403,            0.006403
                 111,            0.025824,            0.018129,           0.0091654,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00637,             0.00637,             0.00637
                 112,            0.027693,            0.019391,           0.0030864,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006337,            0.006337,            0.006337
                 113,            0.029567,            0.019807,            0.004037,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006304,            0.006304,            0.006304
                 114,            0.027362,             0.02048,           0.0038849,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006271,            0.006271,            0.006271
                 115,             0.02686,            0.020782,           0.0026455,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006238,            0.006238,            0.006238
                 116,            0.025952,            0.020248,           0.0022637,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006205,            0.006205,            0.006205
                 117,            0.024988,            0.019895,           0.0036447,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006172,            0.006172,            0.006172
                 118,            0.027338,             0.01964,           0.0047684,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006139,            0.006139,            0.006139
                 119,            0.026965,            0.019831,           0.0072495,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006106,            0.006106,            0.006106
                 120,            0.026103,            0.020457,           0.0041588,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006073,            0.006073,            0.006073
                 121,            0.026558,            0.019654,           0.0037954,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                 122,            0.028204,            0.020226,           0.0034652,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006007,            0.006007,            0.006007
                 123,            0.027939,            0.020167,           0.0053036,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005974,            0.005974,            0.005974
                 124,            0.026327,            0.019965,           0.0038822,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005941,            0.005941,            0.005941
                 125,            0.027185,            0.021575,           0.0029435,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005908,            0.005908,            0.005908
                 126,             0.02781,            0.017902,           0.0028305,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005875,            0.005875,            0.005875
                 127,            0.027577,            0.019564,           0.0032688,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005842,            0.005842,            0.005842
                 128,            0.028156,            0.017997,           0.0032359,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005809,            0.005809,            0.005809
                 129,            0.026985,            0.018585,           0.0024374,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005776,            0.005776,            0.005776
                 130,            0.026163,              0.0199,           0.0019468,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005743,            0.005743,            0.005743
                 131,            0.025784,            0.020361,           0.0021344,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00571,             0.00571,             0.00571
                 132,            0.027579,            0.018743,           0.0027853,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005677,            0.005677,            0.005677
                 133,            0.026527,            0.018258,           0.0022274,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005644,            0.005644,            0.005644
                 134,            0.026405,            0.018554,           0.0016591,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005611,            0.005611,            0.005611
                 135,            0.025128,            0.019585,            0.001909,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005578,            0.005578,            0.005578
                 136,            0.025985,            0.019612,           0.0032359,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005545,            0.005545,            0.005545
                 137,            0.023469,             0.01839,           0.0013202,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005512,            0.005512,            0.005512
                 138,            0.023079,            0.019184,           0.0017685,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005479,            0.005479,            0.005479
                 139,            0.026774,            0.019094,           0.0025126,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005446,            0.005446,            0.005446
                 140,            0.022766,            0.017468,           0.0023492,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005413,            0.005413,            0.005413
                 141,            0.024377,             0.01948,           0.0015124,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00538,             0.00538,             0.00538
                 142,            0.023412,            0.018342,           0.0017883,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005347,            0.005347,            0.005347
                 143,            0.025054,            0.017458,           0.0020327,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005314,            0.005314,            0.005314
                 144,            0.023708,            0.018782,           0.0024585,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005281,            0.005281,            0.005281
                 145,            0.022569,            0.017668,            0.003356,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005248,            0.005248,            0.005248
                 146,            0.023632,            0.017907,           0.0016667,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005215,            0.005215,            0.005215
                 147,             0.02379,            0.018419,           0.0022678,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005182,            0.005182,            0.005182
                 148,            0.027234,            0.017983,           0.0037316,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005149,            0.005149,            0.005149
                 149,            0.022763,            0.017895,           0.0020721,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005116,            0.005116,            0.005116
